set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "S.VARL2" w linespoints, "-" u 1:6 t "S.VARL3" w linespoints, "-" u 1:7 t "S.VARL1" w linespoints, "-" u 1:8 t "T.x" w linespoints
7210.003,314.02,1280.75,446.18,-381.49,-233.35,-179.70,0
7210.05,314.02,1280.75,446.18,-381.49,-233.35,-179.70,798.52
7210.183,314.92,485.40,441.62,-340.95,-233.87,-181.72,0
7210.227,322.10,490.14,431.39,-337.39,-234.80,-185.90,0
7210.274,317.02,488.31,456.97,-347.49,-233.61,-190.41,0
7210.337,309.50,482.23,400.60,-328.45,-236.54,-162.22,0
7210.383,309.50,482.23,400.60,-328.45,-236.54,-162.22,0
7210.446,309.96,501.50,413.19,-349.53,-232.70,-165.43,0
7210.493,322.81,469.11,416.73,-325.94,-235.60,-169.53,0
7210.54,322.81,469.11,416.73,-325.94,-235.60,-169.53,0
7210.602,306.11,498.50,388.36,-332.74,-234.26,-158.91,0
7210.649,306.11,498.50,388.36,-332.74,-234.26,-158.91,0
7210.712,306.47,524.19,406.53,-352.58,-232.45,-175.88,0
7210.758,310.71,480.19,390.47,-327.41,-237.11,-162.27,0
7210.79,310.71,480.19,390.47,-327.41,-237.11,-162.27,0
7210.852,308.85,507.84,398.92,-343.90,-235.69,-167.80,0
7210.899,308.85,507.84,398.92,-343.90,-235.69,-167.80,0
7210.946,315.62,480.78,449.26,-345.04,-234.30,-198.73,0
7210.993,313.38,520.25,439.46,-364.27,-233.67,-194.29,0
7211.04,313.38,520.25,439.46,-364.27,-233.67,-194.29,0
7211.102,317.59,454.38,428.04,-325.18,-237.67,-183.73,0
7211.134,317.59,454.38,428.04,-325.18,-237.67,-183.73,0
7211.17,320.45,475.56,458.54,-339.48,-233.48,-203.62,0
7211.223,320.45,475.56,458.54,-339.48,-233.48,-203.62,0
7211.254,311.01,492.36,427.17,-344.82,-232.61,-184.43,0
7211.301,311.01,492.36,427.17,-344.82,-232.61,-184.43,0
7211.348,306.68,486.34,433.64,-337.45,-232.02,-191.59,0
7211.395,306.68,486.34,433.64,-337.45,-232.02,-191.59,0
7211.441,311.35,435.39,441.70,-315.27,-234.81,-181.24,0
7211.488,306.40,461.57,469.87,-336.37,-230.71,-198.93,0
7211.535,306.40,461.57,469.87,-336.37,-230.71,-198.93,0
7211.598,306.94,494.71,471.54,-347.09,-233.91,-190.95,0
7211.645,306.94,494.71,471.54,-347.09,-233.91,-190.95,0
7211.676,305.85,491.91,449.65,-344.00,-232.56,-186.99,0
7211.723,305.85,491.91,449.65,-344.00,-232.56,-186.99,0
7211.77,313.82,462.64,469.53,-342.32,-232.72,-205.27,0
7211.801,313.82,462.64,469.53,-342.32,-232.72,-205.27,0
7211.848,317.31,475.95,478.85,-352.93,-234.06,-210.89,0
7211.895,317.31,475.95,478.85,-352.93,-234.06,-210.89,0
7211.926,311.08,513.10,416.60,-352.82,-236.90,-181.06,0
7211.973,311.08,513.10,416.60,-352.82,-236.90,-181.06,0
7212.02,312.86,499.59,419.14,-345.61,-236.15,-172.84,0
7212.082,312.86,499.59,419.14,-345.61,-236.15,-172.84,0
7212.113,318.43,483.42,446.49,-345.13,-236.79,-191.92,0
7212.16,318.43,483.42,446.49,-345.13,-236.79,-191.92,0
7212.191,318.18,474.44,423.00,-335.86,-239.90,-178.06,0
7212.223,318.18,474.44,423.00,-335.86,-239.90,-178.06,0
7212.285,317.96,495.84,438.00,-348.34,-235.55,-195.01,0
7212.332,313.31,487.22,430.46,-345.88,-235.48,-180.44,0
7212.363,313.31,487.22,430.46,-345.88,-235.48,-180.44,0
7212.41,313.31,487.22,430.46,-345.88,-235.48,-180.44,0
7212.457,317.22,476.14,459.06,-347.07,-235.14,-199.91,0
7212.52,313.61,512.85,412.50,-337.64,-238.68,-159.69,0
7212.551,313.61,512.85,412.50,-337.64,-238.68,-159.69,0
7212.613,314.10,504.34,433.92,-352.76,-235.94,-179.21,0

e
7196.775,318.52,479.99,461.95,-341.66,-234.58,-197.63,0
7196.807,318.52,479.99,461.95,-341.66,-234.58,-197.63,0
7196.853,315.86,504.13,448.20,-348.10,-234.97,-194.52,0
7196.9,315.86,504.13,448.20,-348.10,-234.97,-194.52,0
7196.947,317.19,442.96,440.49,-317.33,-238.24,-179.78,0
7196.994,317.19,442.96,440.49,-317.33,-238.24,-179.78,0
7197.057,317.64,469.36,468.09,-343.67,-235.44,-199.12,0
7197.104,315.34,501.97,409.24,-332.40,-238.98,-166.45,0
7197.15,315.34,501.97,409.24,-332.40,-238.98,-166.45,0
7197.209,322.09,446.01,472.51,-333.93,-236.43,-204.45,0
7197.272,314.49,485.07,429.17,-339.21,-236.54,-183.28,0
7197.319,314.49,485.07,429.17,-339.21,-236.54,-183.28,0
7197.366,311.08,502.93,444.86,-351.50,-233.22,-190.64,0
7197.412,311.08,502.93,444.86,-351.50,-233.22,-190.64,0
7197.459,313.54,484.92,432.02,-343.62,-235.17,-184.91,0
7197.506,313.54,484.92,432.02,-343.62,-235.17,-184.91,0
7197.569,312.74,492.25,462.63,-349.46,-233.13,-196.08,0
7197.631,317.12,479.88,431.85,-339.56,-234.86,-186.80,0
7197.678,317.12,479.88,431.85,-339.56,-234.86,-186.80,0
7197.741,319.58,453.86,455.39,-326.42,-235.34,-192.20,0
